Menu Item Name,Submenu Item Name,Photo Name,Photo File Name,TopLeft Lat,TopLeft Lng,TopRight Lat,TopRight Lng,BottomRight Lat,BottomRight Lng,BottomLeft Lat,BottomLeft Lng,Left Stereopair Photo Name,Right Stereopair Photo Name
Wrocław,zestaw 1,6599_popr_geom,6599_popr_geom.png,51.06965121,17.18305825,51.07101479,17.23106504,51.04083958,17.23323509,51.0394751,17.18522831,,6598_popr_geom
Wrocław,zestaw 1,6598_popr_geom,6598_popr_geom.png,51.06937569,17.1927322,51.06969353,17.24052622,51.03965124,17.24102642,51.03933672,17.19323801,6599_popr_geom,
Wrocław,zestaw 1,6564_popr_geom,6564_popr_geom.png,51.08617175,17.12853319,51.08714623,17.17562272,51.05755807,17.17717408,51.05658296,17.13008455,,6563_popr_geom
Wrocław,zestaw 1,6563_popr_geom,6563_popr_geom.png,51.08655196,17.13797412,51.08784971,17.18503312,51.0582812,17.18709346,51.05698635,17.14004016,6564_popr_geom6562_popr_geom,
Wrocław,zestaw 1,6562_popr_geom,6562_popr_geom.png,51.08661897,17.1472319,51.08804429,17.19424128,51.05850706,17.1965104,51.05708084,17.14950099,6563_popr_geom,
Wrocław,zestaw 2,3889_popr_geom,3889_popr_geom.png,51.06064843,17.17824778,51.06145038,17.19775779,51.04918699,17.19903376,51.04838482,17.17952377,3888_popr_geom,
Wrocław,zestaw 2,3888_popr_geom,3888_popr_geom.png,51.05975714,17.17034352,51.06058098,17.19002866,51.04820725,17.19133946,51.04738319,17.17165431,3887_popr_geom3889_popr_geom,
Wrocław,zestaw 2,3887_popr_geom,3887_popr_geom.png,51.06018075,17.16307088,51.06095352,17.18267665,51.04862398,17.18390852,51.04784955,17.16429119,3886_popr_geom3888_popr_geom,
Wrocław,zestaw 2,3886_popr_geom,3886_popr_geom.png,51.06022526,17.1558937,51.06086707,17.17552491,51.04850547,17.17654607,51.0478635,17.15688241,3885_popr_geom3887_popr_geom,
Wrocław,zestaw 2,3885_popr_geom,3885_popr_geom.png,51.06067014,17.14801298,51.06114492,17.16776524,51.04872915,17.16852065,51.04825424,17.14876839,,3886_popr_geom
Wrocław,zestaw 3,0040_popr_geom,0040_popr_geom.png,51.05959875,17.14731143,51.05895912,17.18045426,51.03812672,17.17942457,51.03876345,17.14629373,,0039_popr_geom
Wrocław,zestaw 3,0039_popr_geom,0039_popr_geom.png,51.05905014,17.16198002,51.05874532,17.19470788,51.03817053,17.19422291,51.0384755,17.16149507,0040_popr_geom0038_popr_geom,
Wrocław,zestaw 3,0038_popr_geom,0038_popr_geom.png,51.05908266,17.1740190098,51.0591408,17.2067901606,51.03853896,17.20688265,51.03848081,17.17411151,0039_popr_geom0037_popr_geom,
Wrocław,zestaw 3,0037_popr_geom,0037_popr_geom.png,51.05951137,17.18759201,51.05961799,17.22037789,51.0390071,17.22054753,51.03890044,17.18776164,0038_popr_geom0036_popr_geom,
